"turn","color","output","condition","time","score"
"GE03","azzurro","daysurvived","pre","day_9",9
"GE03","azzurro","daysurvived","pre","day_10",10
"GE03","azzurro","daysurvived","pre","day_11",11
"GE03","azzurro","daysurvived","pre","day_12",12
"GE03","azzurro","daysurvived","pre","day_13",13
"GE03","azzurro","daysurvived","pre","day_14",14
"GE03","azzurro","daysurvived","pre","day_15",15
"GE03","azzurro","daysurvived","pre","day_16",16
"GE03","azzurro","daysurvived","pre","day_17",17
"GE03","azzurro","daysurvived","pre","day_18",18
"GE03","azzurro","daysurvived","pre","day_19",19
"GE03","azzurro","daysurvived","pre","day_20",20
"GE03","azzurro","daysurvived","pre","day_21",21
"GE03","azzurro","daysurvived","pre","day_22",22
"GE03","azzurro","daysurvived","pre","day_23",23
"GE03","azzurro","daysurvived","pre","day_24",24
"GE03","azzurro","daysurvived","pre","day_25",25
"GE03","azzurro","daysurvived","pre","day_26",26
"GE03","azzurro","daysurvived","pre","day_27",27
"GE03","azzurro","daysurvived","pre","day_28",28
"GE03","azzurro","daysurvived","pre","day_29",29
"GE03","azzurro","daysurvived","pre","day_30",30
"GE03","azzurro","daysurvived","pre","day_31",31
"GE03","azzurro","daysurvived","pre","day_32",32
"GE03","azzurro","daysurvived","pre","day_33",33
"GE03","azzurro","daysurvived","pre","day_34",34
"GE03","azzurro","daysurvived","pre","day_35",35
"GE03","azzurro","energiaaquisita","pre","day_0",0
"GE03","azzurro","energiaaquisita","pre","day_1",40
"GE03","azzurro","energiaaquisita","pre","day_2",80
"GE03","azzurro","energiaaquisita","pre","day_3",120
"GE03","azzurro","energiaaquisita","pre","day_4",160
"GE03","azzurro","energiaaquisita","pre","day_5",200
"GE03","azzurro","energiaaquisita","pre","day_6",240
"GE03","azzurro","energiaaquisita","pre","day_7",280
"GE03","azzurro","energiaaquisita","pre","day_8",440
"GE03","azzurro","energiaaquisita","pre","day_9",600
"GE03","azzurro","energiaaquisita","pre","day_10",760
"GE03","azzurro","energiaaquisita","pre","day_11",880
"GE03","azzurro","energiaaquisita","pre","day_12",920
"GE03","azzurro","energiaaquisita","pre","day_13",920
"GE03","azzurro","energiaaquisita","pre","day_14",920
"GE03","azzurro","energiaaquisita","pre","day_15",1200
"GE03","azzurro","energiaaquisita","pre","day_16",1480
"GE03","azzurro","energiaaquisita","pre","day_17",1720
"GE03","azzurro","energiaaquisita","pre","day_18",1960
"GE03","azzurro","energiaaquisita","pre","day_19",2160
"GE03","azzurro","energiaaquisita","pre","day_20",2320
"GE03","azzurro","energiaaquisita","pre","day_21",2440
"GE03","azzurro","energiaaquisita","pre","day_22",2840
"GE03","azzurro","energiaaquisita","pre","day_23",3240
"GE03","azzurro","energiaaquisita","pre","day_24",3500
"GE03","azzurro","energiaaquisita","pre","day_25",3740
"GE03","azzurro","energiaaquisita","pre","day_26",3940
"GE03","azzurro","energiaaquisita","pre","day_27",4060
"GE03","azzurro","energiaaquisita","pre","day_28",4180
"GE03","azzurro","energiaaquisita","pre","day_29",4500
"GE03","azzurro","energiaaquisita","pre","day_30",4820
"GE03","azzurro","energiaaquisita","pre","day_31",5100
"GE03","azzurro","energiaaquisita","pre","day_32",5300
"GE03","azzurro","energiaaquisita","pre","day_33",5460
"GE03","azzurro","energiaaquisita","pre","day_34",5540
"GE03","azzurro","energiaaquisita","pre","day_35",5620
"GE03","azzurro","giornaliero","pre","day_0",0
"GE03","azzurro","giornaliero","pre","day_1",40
"GE03","azzurro","giornaliero","pre","day_2",40
"GE03","azzurro","giornaliero","pre","day_3",40
"GE03","azzurro","giornaliero","pre","day_4",40
"GE03","azzurro","giornaliero","pre","day_5",40
"GE03","azzurro","giornaliero","pre","day_6",40
"GE03","azzurro","giornaliero","pre","day_7",40
"GE03","azzurro","giornaliero","pre","day_8",160
"GE03","azzurro","giornaliero","pre","day_9",160
"GE03","azzurro","giornaliero","pre","day_10",160
"GE03","azzurro","giornaliero","pre","day_11",120
"GE03","azzurro","giornaliero","pre","day_12",40
"GE03","azzurro","giornaliero","pre","day_13",0
"GE03","azzurro","giornaliero","pre","day_14",0
"GE03","azzurro","giornaliero","pre","day_15",280
"GE03","azzurro","giornaliero","pre","day_16",280
"GE03","azzurro","giornaliero","pre","day_17",240
"GE03","azzurro","giornaliero","pre","day_18",240
"GE03","azzurro","giornaliero","pre","day_19",200
"GE03","azzurro","giornaliero","pre","day_20",160
"GE03","azzurro","giornaliero","pre","day_21",120
"GE03","azzurro","giornaliero","pre","day_22",400
"GE03","azzurro","giornaliero","pre","day_23",400
"GE03","azzurro","giornaliero","pre","day_24",260
"GE03","azzurro","giornaliero","pre","day_25",240
"GE03","azzurro","giornaliero","pre","day_26",200
"GE03","azzurro","giornaliero","pre","day_27",120
"GE03","azzurro","giornaliero","pre","day_28",120
"GE03","azzurro","giornaliero","pre","day_29",320
"GE03","azzurro","giornaliero","pre","day_30",320
"GE03","azzurro","giornaliero","pre","day_31",280
"GE03","azzurro","giornaliero","pre","day_32",200
"GE03","azzurro","giornaliero","pre","day_33",160
"GE03","azzurro","giornaliero","pre","day_34",80
"GE03","azzurro","giornaliero","pre","day_35",80
"GE03","azzurro","mucche","pre","day_0",1
"GE03","azzurro","mucche","pre","day_1",1
"GE03","azzurro","mucche","pre","day_2",1
"GE03","azzurro","mucche","pre","day_3",1
"GE03","azzurro","mucche","pre","day_4",1
"GE03","azzurro","mucche","pre","day_5",1
"GE03","azzurro","mucche","pre","day_6",1
"GE03","azzurro","mucche","pre","day_7",1
"GE03","azzurro","mucche","pre","day_8",4
"GE03","azzurro","mucche","pre","day_9",4
"GE03","azzurro","mucche","pre","day_10",4
"GE03","azzurro","mucche","pre","day_11",3
"GE03","azzurro","mucche","pre","day_12",1
"GE03","azzurro","mucche","pre","day_13",0
"GE03","azzurro","mucche","pre","day_14",0
"GE03","azzurro","mucche","pre","day_15",7
"GE03","azzurro","mucche","pre","day_16",7
"GE03","azzurro","mucche","pre","day_17",6
"GE03","azzurro","mucche","pre","day_18",6
"GE03","azzurro","mucche","pre","day_19",5
"GE03","azzurro","mucche","pre","day_20",4
"GE03","azzurro","mucche","pre","day_21",3
"GE03","azzurro","mucche","pre","day_22",10
"GE03","azzurro","mucche","pre","day_23",10
"GE03","azzurro","mucche","pre","day_24",7
"GE03","azzurro","mucche","pre","day_25",6
"GE03","azzurro","mucche","pre","day_26",5
"GE03","azzurro","mucche","pre","day_27",3
"GE03","azzurro","mucche","pre","day_28",3
"GE03","azzurro","mucche","pre","day_29",8
"GE03","azzurro","mucche","pre","day_30",8
"GE03","azzurro","mucche","pre","day_31",7
"GE03","azzurro","mucche","pre","day_32",5
"GE03","azzurro","mucche","pre","day_33",4
"GE03","azzurro","mucche","pre","day_34",2
"GE03","azzurro","mucche","pre","day_35",2
"GE03","azzurro","muccheperse","pre","day_0",0
"GE03","azzurro","muccheperse","pre","day_1",0
"GE03","azzurro","muccheperse","pre","day_2",0
"GE03","azzurro","muccheperse","pre","day_3",0
"GE03","azzurro","muccheperse","pre","day_4",0
"GE03","azzurro","muccheperse","pre","day_5",0
"GE03","azzurro","muccheperse","pre","day_6",0
"GE03","azzurro","muccheperse","pre","day_7",0
"GE03","azzurro","muccheperse","pre","day_8",0
