"turn","color","output","condition","time","score","note"
"BR01","azzurro","giornaliero","pre","20",400,"used malus 100 Euro costante"
"BR01","azzurro","giornaliero","pre","21",360,"used malus 100 Euro costante"
"BR01","azzurro","giornaliero","pre","22",2000,"used malus 100 Euro costante"
"BR01","azzurro","giornaliero","pre","23",1580,"used malus 100 Euro costante"
"BR01","azzurro","giornaliero","pre","24",1180,"used malus 100 Euro costante"
"BR01","azzurro","giornaliero","pre","25",750,"used malus 100 Euro costante"
"BR01","azzurro","giornaliero","pre","26",400,"used malus 100 Euro costante"
"BR01","azzurro","giornaliero","pre","27",320,"used malus 100 Euro costante"
"BR01","azzurro","giornaliero","pre","28",280,"used malus 100 Euro costante"
"BR01","azzurro","mucche","pre","0",1,"used malus 100 Euro costante"
"BR01","azzurro","mucche","pre","1",1,"used malus 100 Euro costante"
"BR01","azzurro","mucche","pre","2",1,"used malus 100 Euro costante"
"BR01","azzurro","mucche","pre","3",1,"used malus 100 Euro costante"
"BR01","azzurro","mucche","pre","4",1,"used malus 100 Euro costante"
"BR01","azzurro","mucche","pre","5",1,"used malus 100 Euro costante"
"BR01","azzurro","mucche","pre","6",1,"used malus 100 Euro costante"
"BR01","azzurro","mucche","pre","7",1,"used malus 100 Euro costante"
"BR01","azzurro","mucche","pre","8",2,"used malus 100 Euro costante"
"BR01","azzurro","mucche","pre","9",2,"used malus 100 Euro costante"
"BR01","azzurro","mucche","pre","10",2,"used malus 100 Euro costante"
"BR01","azzurro","mucche","pre","11",2,"used malus 100 Euro costante"
"BR01","azzurro","mucche","pre","12",2,"used malus 100 Euro costante"
"BR01","azzurro","mucche","pre","13",2,"used malus 100 Euro costante"
"BR01","azzurro","mucche","pre","14",2,"used malus 100 Euro costante"
"BR01","azzurro","mucche","pre","15",20,"used malus 100 Euro costante"
"BR01","azzurro","mucche","pre","16",19,"used malus 100 Euro costante"
"BR01","azzurro","mucche","pre","17",18,"used malus 100 Euro costante"
"BR01","azzurro","mucche","pre","18",14,"used malus 100 Euro costante"
"BR01","azzurro","mucche","pre","19",12,"used malus 100 Euro costante"
"BR01","azzurro","mucche","pre","20",10,"used malus 100 Euro costante"
"BR01","azzurro","mucche","pre","21",9,"used malus 100 Euro costante"
"BR01","azzurro","mucche","pre","22",50,"used malus 100 Euro costante"
"BR01","azzurro","mucche","pre","23",40,"used malus 100 Euro costante"
"BR01","azzurro","mucche","pre","24",30,"used malus 100 Euro costante"
"BR01","azzurro","mucche","pre","25",20,"used malus 100 Euro costante"
"BR01","azzurro","mucche","pre","26",10,"used malus 100 Euro costante"
"BR01","azzurro","mucche","pre","27",8,"used malus 100 Euro costante"
"BR01","azzurro","mucche","pre","28",7,"used malus 100 Euro costante"
"BR01","azzurro","muccheperse","pre","0",0,"used malus 100 Euro costante"
"BR01","azzurro","muccheperse","pre","1",0,"used malus 100 Euro costante"
"BR01","azzurro","muccheperse","pre","2",0,"used malus 100 Euro costante"
"BR01","azzurro","muccheperse","pre","3",0,"used malus 100 Euro costante"
"BR01","azzurro","muccheperse","pre","4",0,"used malus 100 Euro costante"
"BR01","azzurro","muccheperse","pre","5",0,"used malus 100 Euro costante"
"BR01","azzurro","muccheperse","pre","6",0,"used malus 100 Euro costante"
"BR01","azzurro","muccheperse","pre","7",0,"used malus 100 Euro costante"
"BR01","azzurro","muccheperse","pre","8",0,"used malus 100 Euro costante"
"BR01","azzurro","muccheperse","pre","9",0,"used malus 100 Euro costante"
"BR01","azzurro","muccheperse","pre","10",0,"used malus 100 Euro costante"
"BR01","azzurro","muccheperse","pre","11",0,"used malus 100 Euro costante"
"BR01","azzurro","muccheperse","pre","12",0,"used malus 100 Euro costante"
"BR01","azzurro","muccheperse","pre","13",0,"used malus 100 Euro costante"
"BR01","azzurro","muccheperse","pre","14",0,"used malus 100 Euro costante"
"BR01","azzurro","muccheperse","pre","15",0,"used malus 100 Euro costante"
"BR01","azzurro","muccheperse","pre","16",1,"used malus 100 Euro costante"
"BR01","azzurro","muccheperse","pre","17",2,"used malus 100 Euro costante"
"BR01","azzurro","muccheperse","pre","18",6,"used malus 100 Euro costante"
"BR01","azzurro","muccheperse","pre","19",8,"used malus 100 Euro costante"
"BR01","azzurro","muccheperse","pre","20",10,"used malus 100 Euro costante"
"BR01","azzurro","muccheperse","pre","21",11,"used malus 100 Euro costante"
"BR01","azzurro","muccheperse","pre","22",11,"used malus 100 Euro costante"
"BR01","azzurro","muccheperse","pre","23",21,"used malus 100 Euro costante"
"BR01","azzurro","muccheperse","pre","24",31,"used malus 100 Euro costante"
"BR01","azzurro","muccheperse","pre","25",41,"used malus 100 Euro costante"
"BR01","azzurro","muccheperse","pre","26",51,"used malus 100 Euro costante"
"BR01","azzurro","muccheperse","pre","27",53,"used malus 100 Euro costante"
"BR01","azzurro","muccheperse","pre","28",54,"used malus 100 Euro costante"
"BR01","azzurro","muccheslider","pre","0",1,"used malus 100 Euro costante"
"BR01","azzurro","muccheslider","pre","1",1,"used malus 100 Euro costante"
"BR01","azzurro","muccheslider","pre","2",1,"used malus 100 Euro costante"
"BR01","azzurro","muccheslider","pre","3",1,"used malus 100 Euro costante"
"BR01","azzurro","muccheslider","pre","4",1,"used malus 100 Euro costante"
"BR01","azzurro","muccheslider","pre","5",1,"used malus 100 Euro costante"
"BR01","azzurro","muccheslider","pre","6",1,"used malus 100 Euro costante"
"BR01","azzurro","muccheslider","pre","7",1,"used malus 100 Euro costante"
"BR01","azzurro","muccheslider","pre","8",2,"used malus 100 Euro costante"
"BR01","azzurro","muccheslider","pre","9",2,"used malus 100 Euro costante"
