"turn","color","output","condition","time","score"
"BR04","rosso","mucche","pre","2",1
"BR04","rosso","mucche","pre","3",1
"BR04","rosso","mucche","pre","4",1
"BR04","rosso","mucche","pre","5",1
"BR04","rosso","mucche","pre","6",1
"BR04","rosso","mucche","pre","7",1
"BR04","rosso","mucche","pre","8",9
"BR04","rosso","mucche","pre","9",9
"BR04","rosso","mucche","pre","10",8
"BR04","rosso","mucche","pre","11",7
"BR04","rosso","mucche","pre","12",7
"BR04","rosso","mucche","pre","13",5
"BR04","rosso","mucche","pre","14",5
"BR04","rosso","mucche","pre","15",7
"BR04","rosso","mucche","pre","16",6
"BR04","rosso","mucche","pre","17",5
"BR04","rosso","mucche","pre","18",2
"BR04","rosso","mucche","pre","19",1
"BR04","rosso","mucche","pre","20",1
"BR04","rosso","mucche","pre","21",1
"BR04","rosso","mucche","pre","22",30
"BR04","rosso","mucche","pre","23",19
"BR04","rosso","mucche","pre","24",11
"BR04","rosso","mucche","pre","25",5
"BR04","rosso","mucche","pre","26",5
"BR04","rosso","mucche","pre","27",5
"BR04","rosso","mucche","pre","28",3
"BR04","rosso","muccheperse","pre","0",0
"BR04","rosso","muccheperse","pre","1",0
"BR04","rosso","muccheperse","pre","2",0
"BR04","rosso","muccheperse","pre","3",0
"BR04","rosso","muccheperse","pre","4",0
"BR04","rosso","muccheperse","pre","5",0
"BR04","rosso","muccheperse","pre","6",0
"BR04","rosso","muccheperse","pre","7",0
"BR04","rosso","muccheperse","pre","8",0
"BR04","rosso","muccheperse","pre","9",0
"BR04","rosso","muccheperse","pre","10",1
"BR04","rosso","muccheperse","pre","11",2
"BR04","rosso","muccheperse","pre","12",2
"BR04","rosso","muccheperse","pre","13",4
"BR04","rosso","muccheperse","pre","14",4
"BR04","rosso","muccheperse","pre","15",4
"BR04","rosso","muccheperse","pre","16",5
"BR04","rosso","muccheperse","pre","17",6
"BR04","rosso","muccheperse","pre","18",9
"BR04","rosso","muccheperse","pre","19",10
"BR04","rosso","muccheperse","pre","20",10
"BR04","rosso","muccheperse","pre","21",10
"BR04","rosso","muccheperse","pre","22",10
"BR04","rosso","muccheperse","pre","23",21
"BR04","rosso","muccheperse","pre","24",29
"BR04","rosso","muccheperse","pre","25",35
"BR04","rosso","muccheperse","pre","26",35
"BR04","rosso","muccheperse","pre","27",35
"BR04","rosso","muccheperse","pre","28",37
"BR04","rosso","muccheslider","pre","0",1
"BR04","rosso","muccheslider","pre","1",1
"BR04","rosso","muccheslider","pre","2",1
"BR04","rosso","muccheslider","pre","3",1
"BR04","rosso","muccheslider","pre","4",1
"BR04","rosso","muccheslider","pre","5",1
"BR04","rosso","muccheslider","pre","6",1
"BR04","rosso","muccheslider","pre","7",1
"BR04","rosso","muccheslider","pre","8",9
"BR04","rosso","muccheslider","pre","9",9
